CUSTOMER_ID,CITY NAME,STATE ABBREVIATION,FIPS ZIP CODE,LON,LAT,EST HOUSEHOLD INCOME V5,LENGTH OF RESIDENCE,NUMBER OF ADULTS IN LIVING UNIT,MOSAIC HOUSEHOLD,CHILDREN: AGE 0-18 VERSION 3
37654135253,MINNEAPOLIS,MN,55448,-93.2833112127598,45.1786827111677,$75000-$99999,20,2,H28,Possible
87559897809,MINNEAPOLIS,MN,55420,-93.2913091836735,44.8478228674084,$25000-$34999,01,3,O51,Not Likely
17535969041,MINNEAPOLIS,MN,55428,-93.3625877373289,45.049694734613,$75000-$99999,19,2,I31,Yes
47529857450,MINNEAPOLIS,MN,55417,-93.2615346430239,44.9154473746446,$150000-$174999,00,3,C13,Possible
37686013985,MINNEAPOLIS,MN,55432,-93.26077,45.1041128674084,$1000-$14999,03,1,O54,Likely
67659000258,MINNEAPOLIS,MN,55430,-93.2896050377714,45.0641586204544,,00,0,U00,No
87564953294,MINNEAPOLIS,MN,55426,-93.3818827357638,44.9750064310831,$75000-$99999,13,6,D16,Possible
87552720847,MINNEAPOLIS,MN,55401,-93.27093,44.98332,$125000-$149999,03,1,G25,Not Likely
37599833275,MINNEAPOLIS,MN,55414,-93.2305563908125,44.9886165325565,$35000-$49999,01,1,O53,Not Likely
17531895506,MINNEAPOLIS,MN,55420,-93.2722239980309,44.851421315113,$25000-$34999,14,4,E20,Not Likely
67552981523,MINNEAPOLIS,MN,55429,-93.3437199292414,45.0850739505944,$25000-$34999,00,1,R66,Possible
37534774514,MINNEAPOLIS,MN,55407,-93.2475296238382,44.9355650319849,$1000-$14999,00,1,O54,Possible
47551781207,MINNEAPOLIS,MN,55408,-93.2789903508128,44.9464672978257,$25000-$34999,07,2,S71,Yes
77573898596,MINNEAPOLIS,MN,55420,-93.2642968465282,44.831665340842,$50000-$74999,21,2,J34,Not Likely
